ID,Severity,VPR Score (Beta),VPR Score,CVSS Score,Plugin Name,Software,Path,Software Fix Version
CVE-2026-4800,Critical,7.6,6.7,9.8,"SCA: security update for lodash, lodash-amd, lodash-es, lodash.template (GHSA-r5fr-rjxr-66jc)",lodash 4.17.21,"/usr/share/wazuh-dashboard/plugins/flowFrameworkDashboards/node_modules/lodash/package.json
/usr/share/wazuh-dashboard/plugins/securityAnalyticsDashboards/node_modules/lodash/package.json",4.18.0
CVE-2026-47770,Critical,4.9,7.4,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-47770,libjq1 1.7.1-3ubuntu0.24.04.2,,
CVE-2026-47770,Critical,4.9,7.4,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-47770,jq 1.7.1-3ubuntu0.24.04.2,,
CVE-2026-46325,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46325,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-46289,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46289,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-46289,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46289,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-46195,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46195,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-46137,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46137,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-46135,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46135,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-46135,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46135,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-46115,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46115,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-46115,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46115,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-46039,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46039,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-46039,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-46039,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-45988,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-45988,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-45988,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-45988,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-45972,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-45972,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-45972,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-45972,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-45898,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-45898,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-45898,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-45898,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-45495,Critical,6.9,7.4,9.8,,Microsoft Edge 135.0.3179.85,"C/Program Files (x86)/Microsoft/Edge/Application
C/Program Files (x86)/Microsoft/Edge/Application/msedge.exe
C/Program Files (x86)/Microsoft/Edge/Application/msedge_proxy.exe
C/Program Files (x86)/Microsoft/Edge/Application/pwahelper.exe",148.0.3967.70
CVE-2026-4480,Critical,7.6,7.4,9.8,RHEL 10 : samba (RHSA-2026:22963),libldb 4.22.4-121.el10_1,,4.23.5-109.el10_2
CVE-2026-4408,Critical,7.7,6.7,9.8,RHEL 10 : samba (RHSA-2026:22963),libldb 4.22.4-121.el10_1,,4.23.5-109.el10_2
CVE-2026-43501,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43501,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43501,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43501,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43493,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43493,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43493,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43493,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43465,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43465,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43465,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43465,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43414,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43414,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43414,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43414,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43402,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43402,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43402,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43402,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43384,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43384,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43379,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43379,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43376,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43376,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
