asset.display_ipv4_address,asset.name,asset_id,definition.family,definition.id,definition.name,definition.vpr.score,finding_id,first_observed,last_seen,severity,state
172.67.146.18,help.shieldsec.com.br,6629f20e-60a9-4179-8cc9-21813a504bd2,HTTP Security Header,112529,Missing 'X-Content-Type-Options' Header,2.9,01d6f7fa-df95-5f31-b227-c2ac8d780e10,2026-06-05T19:00:15.018Z,2026-06-05T19:00:15.018Z,Low,NEW
20.190.173.64,enterpriseregistration.shieldsec.com.br,b1209bb6-3c68-417b-85b9-6e969db96a2f,HTTP Security Header,98056,Missing HTTP Strict Transport Security Policy,3.25,0268d921-a296-57e3-8206-904938fe36b5,2026-06-05T19:00:15.565Z,2026-06-05T19:00:15.565Z,Medium,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112529,Missing 'X-Content-Type-Options' Header,2.9,03805ce9-8705-5895-908e-06c16d0fd6a5,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
104.21.63.140,exchange.shieldsec.com.br,27b05367-13dc-46ba-9b71-de5c3e6966de,HTTP Security Header,98060,Missing 'X-Frame-Options' Header,2.15,04ae2224-e460-54bb-9d45-75aefa93faba,2026-06-05T19:00:15.270Z,2026-06-05T19:00:15.270Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112554,Permissive Content Security Policy Detected,2.15,0581d523-fc10-5f45-990a-6298a9a1d842,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112553,Missing 'Cache-Control' Header,1.4,0586c676-b77a-5b26-9616-a5c24100f5a0,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112529,Missing 'X-Content-Type-Options' Header,2.9,05c4d96c-142e-5091-ba9d-e2f926456798,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112529,Missing 'X-Content-Type-Options' Header,2.9,06cba3bf-e4d3-57c5-8ad9-674950b6d3f3,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112554,Permissive Content Security Policy Detected,2.15,075f8ce8-1879-5eb0-ac12-27fce33c9d73,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
104.21.63.140,exchange.shieldsec.com.br,27b05367-13dc-46ba-9b71-de5c3e6966de,HTTP Security Header,112553,Missing 'Cache-Control' Header,1.4,07c85c71-6966-5dcd-a364-28037d83460e,2026-06-05T19:00:15.270Z,2026-06-05T19:00:15.270Z,Low,NEW
